106
1.01東,1
1.02冬,2,3
1.03江,4
1.04支,5,6,7
1.05微,8
1.06魚,9
1.07虞,10,11
1.08齊,12
1.09佳,13,14
1.10灰,15,16
1.11真,17,18,19
1.12文,20,21
1.13元,22,23,24
1.14寒,25,26
1.15刪,27,28
2.01先,1,2
2.02蕭,3,4
2.03肴,5
2.04豪,6
2.05歌,7,8
2.06麻,9
2.07陽,10,11
2.08庚,12,13,14
2.09青,15
2.10蒸,16,17
2.11尤,18,19,20
2.12侵,21
2.13覃,22,23
2.14鹽,24,25,28
2.15咸,26,27,29
3.01董,1
3.02腫,2
3.03講,3
3.04紙,4,5,6
3.05尾,7
3.06語,8
3.07麌,9,10
3.08薺,11
3.09蟹,12,13
3.10賄,14,15
3.11軫,16,17
3.12吻,18,19
3.13阮,20,21,22
3.14旱,23,24
3.15潸,25,26
3.16銑,27,28
3.17篠,29,30
3.18巧,31
3.19皓,32
3.20哿,33,34
3.21馬,35
3.22養,36,37
3.23梗,38,39,40
3.24迥,41,42,43
3.25有,44,45,46
3.26寢,47
3.27感,48,49
3.28琰,50,51,52
3.29豏,53,54,55
4.01送,1
4.02宋,2,3
4.03絳,4
4.04寘,5,6,7
4.05未,8
4.06御,9
4.07遇,10,11
4.08霽,12,13
4.09泰,14
4.10卦,15,16,17
4.11隊,18,19,20
4.12震,21,22
4.13問,23,24
4.14願,25,26,27
4.15翰,28,29
4.16諫,30,31
4.17霰,32,33
4.18嘯,34,35
4.19效,36
4.20號,37
4.21箇,38,39
4.22禡,40
4.23漾,41,42
4.24映,43,44,45
4.25徑,46,47,48
4.26宥,49,50,51
4.27沁,52
4.28勘,53,54
4.29艶,55,56,57
4.30陷,58,59,60
5.01屋,1
5.02沃,2,3
5.03覺,4
5.04質,5,6,7
5.05物,8,9
5.06月,10,11
5.07曷,12,13
5.08黠,14,15
5.09屑,16,17
5.10藥,18,19
5.11陌,20,21,22
5.12錫,23
5.13職,24,25
5.14緝,26
5.15合,27,28
5.16葉,29,30,33
5.17洽,31,32,34
