163
臻,1,3,文,0,ɨun,iun,i̯uən,ĭuən,iuən,iuən,un
臻,1,3,文,1,ɨut,iut,i̯uət,ĭuət,iuət,iuət,ut
山,0,1,寒,0,ɑn,ɑn,ɑn,ɑn,ɑn,ɑn,an
山,1,1,桓,0,uɑn,ʷɑn,uɑn,uɑn,uɑn,uɑn,wan
山,0,1,寒,1,ɑt,ɑt,ɑt,ɑt,ɑt,ɑt,at
山,1,1,桓,1,uɑt,ʷɑt,uɑt,uɑt,uɑt,uɑt,wat
山,0,3,元,0,ɨɐn,iɐn,ɨ̯ɐn,ĭɐn,iɐn,iɐn,ɨan
山,1,3,元,0,ʉɐn,ʷiɐn,i̯wɐn,ĭwɐn,iuɐn,iuɐn,uan
山,0,3,元,1,ɨɐt,iɐt,ɨ̯ɐt,ĭɐt,iɐt,iɐt,ɨat
山,1,3,元,1,ʉɐt,ʷiɐt,i̯wɐt,ĭwɐn,iuɐt,iuɐt,uat
山,0,2,刪,0,ɣan,ɯan,an,an,an,ɐn,aɨn
山,1,2,刪,0,ɣuan,ʷɯan,wan,wan,uan,uɐn,waɨn
山,0,2,刪,1,ɣat,ɯat,ăt,at,at,ɐt,aɨt
山,1,2,刪,1,ɣuat,ʷɯat,wăt,wat,uat,uɐt,waɨt
山,0,2,山,0,ɣɛn,ɯæn,ăn,æn,ɛn,æn,əɨn
山,1,2,山,0,ɣuɛn,ʷɯæn,wăn,wæn,uɛn,uæn,wəɨn
山,0,2,山,1,ɣɛt,ɯæt,at,æt,ɛt,æt,əɨt
山,1,2,山,1,ɣuɛt,ʷɯæt,wat,wæt,uɛt,uæt,wəɨt
山,0,3,仙A,0,iᴇn,iɛn,i̯ɛn,ĭɛn,iɛn,jæn,ian
山,1,3,仙A,0,iuᴇn,ʷiɛn,i̯wɛn,ĭwɛn,iuɛn,juæn,wian
山,0,3,仙B,0,ɣiᴇn,ɯiɛn,——,ĭɛn,jɛn,iæn,ian
山,1,3,仙B,0,ɣiuᴇn,ʷɯiɛn,——,ĭwɛn,juɛn,iuæn,wian
山,0,3,仙A,1,iᴇt,iɛt,i̯ɛt,ĭɛt,iɛt,jæt,iat
山,1,3,仙A,1,iuᴇt,ʷiɛt,i̯wɛt,ĭuɛt,iuɛt,juæt,wiat
山,0,3,仙B,1,ɣiᴇt,ɯiɛt,——,ĭɛt,jɛt,iæt,iat
山,1,3,仙B,1,ɣiuᴇt,ʷɯiet,——,ĭuɛt,juɛt,iuæt,wiat
山,0,4,先,0,en,en,ien,ien,en,ɛn,ɛn
山,1,4,先,0,wen,ʷen,iwen,iwen,uen,uɛn,wɛn
山,0,4,先,1,et,et,iet,iet,et,ɛt,ɛt
山,1,4,先,1,wet,ʷet,iwet,iwet,uet,uɛt,wɛt
山,0,1,桓,1,ɑt,ɑt,ɑt,ɑt,ɑt,ɑt,——
效,0,1,豪,0,ɑu,ɑu,ɑu,ɑu,ɑu,ɑu,aw
效,0,2,肴,0,ɣau,ɯau,au,au,au,au,aɨw
效,0,3,宵A,0,iᴇu,iɛu,i̯ɛu,ĭɛu,iɛu,jæu,iaw
效,0,3,宵B,0,ɣiᴇu,ɯiɛu,——,ĭɛu,jɛu,iæu,iaw
效,0,4,蕭,0,eu,eu,ieu,ieu,eu,eu,ɛw
果,0,1,歌,0,ɑ,ɑ,ɑ,ɑ,ɑ,ɑ,a
果,1,1,戈,0,uɑ,uɑ,uɑ,uɑ,uɑ,uɑ,wa
果,0,3,戈,0,ɨɑ,iɑ,——,ǐɑ,iɑ,iɑ,ɨa
果,1,3,戈,0,ɨuɑ,ʷiɑ,i̯wɑ,ĭuɑ,iuɑ,iuɑ,ua
假,0,2,麻,0,ɣa,ɯa,a,a,a,a,aɨ
假,1,2,麻,0,ɣua,ʷɯa,wa,wa,ua,ua,waɨ
假,0,3,麻,0,ia,ia,i̯a,ĭa,ia,ia,ia
宕,0,1,唐,0,ɑŋ,ɑŋ,ɑŋ,ɑŋ,ɑŋ,ɑŋ,aŋ
宕,1,1,唐,0,wɑŋ,ʷɑŋ,wɑŋ,uɑŋ,uɑŋ,uɑŋ,waŋ
宕,0,1,唐,1,ɑk,ɑk,ɑk,ɑk,ɑk,ɑk,ak
宕,1,1,唐,1,wɑk,ʷɑk,wɑk,uɑk,uɑk,uɑk,wak
